Model,Option,Fill Method,Train R^2,Test R^2,Validation R^2,CTGAN R^2,Noise R^2,VAE R^2,Copula R^2
LinearRegression,vae,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",-0.11230760317717747,-0.3157664860160918,-1.0330614840327965,-4.901146736075932,-0.4331271320937611,0.9965294142265926,-0.17070795328463118
LinearRegression,vae,"{'half_nans': 'median', 'one_third_nans': 'median', 'small_nas': 'mode', 'unclear_columns': 'drop'}",-3.3352788114309444,-0.3089101226283604,-4.637998519242239,-4.901146736075932,-1.2462305704872834,0.9965294142265926,-0.17070795328463118
LinearRegression,copula,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",0.6403305331100388,0.5653344680347534,0.47897554439023193,-0.7567760924573974,0.7403354160690319,0.5124331398257542,0.7078656300359066
LinearRegression,copula,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",0.644230738190408,0.29272655887022325,-0.011086043555162295,-0.7567760924573974,0.7078316010814025,0.5124331398257542,0.7078656300359066
LinearRegression,copula,"{'half_nans': 'median', 'one_third_nans': 'median', 'small_nas': 'mode', 'unclear_columns': 'drop'}",0.5699105837999483,0.5825336516853128,0.38985852571777013,-0.7567760924573974,0.7052077875077634,0.5124331398257542,0.7078656300359066
Ridge,general,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",0.8167245479960282,0.665917221961094,0.3927653856012975,-0.6968194271690831,0.6809534934659127,-1.5945183480335348,0.5499328420785963
Ridge,general,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",0.828786141182575,0.6412689753052412,0.5662012635257485,-0.9829054897905138,0.6811470414026954,-1.8639726292762027,0.5689688947318396
Ridge,general,"{'half_nans': 'median', 'one_third_nans': 'median', 'small_nas': 'mode', 'unclear_columns': 'drop'}",0.8051504185009104,0.6768932706008847,0.5954667963730097,-0.32555103717813716,0.6714062431541521,-0.6394625378852574,0.5126386595779837
Ridge,ctgan,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",-0.3384896744541086,-0.5113629217200766,-1.3284665953842452,0.03869157444780713,-0.88411956382771,0.05533132052487577,-0.34249159813465346
Ridge,ctgan,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",-0.34270843717057575,-0.5154357902705384,-1.3233252365755908,0.03869157444780713,-0.8781432974013439,0.05533132052487577,-0.34249159813465346
Ridge,ctgan,"{'half_nans': 'median', 'one_third_nans': 'median', 'small_nas': 'mode', 'unclear_columns': 'drop'}",-0.32121286645624236,-0.5158276238583273,-1.279516957010638,0.03869157444780713,-0.8792558905240746,0.05533132052487577,-0.34249159813465346
Ridge,noise,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",0.6727112820424026,0.6270755532465302,0.5945745425675875,-0.5716669306205768,0.7755677271085198,0.7084762112744245,0.6721041025213537
Ridge,noise,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",0.6926373262940109,0.4820660827661275,0.4423360534451718,-0.5929413969267128,0.779943085607943,0.306264590168824,0.686677528015647
Ridge,noise,"{'half_nans': 'median', 'one_third_nans': 'median', 'small_nas': 'mode', 'unclear_columns': 'drop'}",0.6772182838140605,0.6291433170294121,0.6591893943018108,-0.4462659772009463,0.7662349314970179,-0.6913150397142542,0.10611181541559966
Ridge,vae,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",0.05384618600210811,-0.182049431714572,-0.6506002007849652,-3.8650099788979526,-0.25177060386141004,0.996105591217507,-0.13208168798951525
Ridge,vae,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",-0.009508316771934755,-0.2702184403402812,-0.9793068959397442,-3.8650099788979526,-0.2784550012940037,0.996105591217507,-0.13208168798951525
Ridge,vae,"{'half_nans': 'median', 'one_third_nans': 'median', 'small_nas': 'mode', 'unclear_columns': 'drop'}",-2.4953930619323463,-0.17433298303789857,-3.8923446344223107,-3.8650099788979526,-0.9091819758622717,0.996105591217507,-0.13208168798951525
Ridge,copula,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",0.6427821800157607,0.5682936028386084,0.4825254793265207,-0.7579415031860255,0.742607854065196,0.5035270018213865,0.707837123161507
Ridge,copula,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",0.6473974061820922,0.30205131298907206,-0.00028949523665078303,-0.7579415031860255,0.7110151323110522,0.5035270018213865,0.707837123161507
Ridge,copula,"{'half_nans': 'median', 'one_third_nans': 'median', 'small_nas': 'mode', 'unclear_columns': 'drop'}",0.571186615823492,0.5851659704540288,0.391525398373589,-0.7579415031860255,0.7070719395130667,0.5035270018213865,0.707837123161507
Lasso,general,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",0.680304857892938,0.5969121135627209,0.5729352849554358,-0.740699424881426,0.7553745872525958,-1.3204741366065953,0.6535207622877948
Lasso,general,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",0.7149884615623032,0.5695433455922075,0.5337776940223059,-0.8843377204371199,0.7503424265898937,-0.9008300276270844,0.632938210315283
Lasso,general,"{'half_nans': 'median', 'one_third_nans': 'median', 'small_nas': 'mode', 'unclear_columns': 'drop'}",0.671847588718376,0.6336186227104188,0.6515240067403201,-0.5105463901219096,0.7369828376401173,-1.684861951710873,0.6499649431518645
Lasso,ctgan,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",-0.3593658292033415,-0.4886558659094904,-1.360090884729717,0.0333935507981592,-0.9024183667688273,0.0528287149060227,-0.36153570832146587
Lasso,ctgan,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",-0.36309890749225526,-0.48790081691050147,-1.3682589374651815,0.0333935507981592,-0.8995240326875187,0.0528287149060227,-0.36153570832146587
Lasso,ctgan,"{'half_nans': 'median', 'one_third_nans': 'median', 'small_nas': 'mode', 'unclear_columns': 'drop'}",-0.3456707356061848,-0.49498004343066193,-1.338381157861642,0.0333935507981592,-0.9011585566681517,0.0528287149060227,-0.36153570832146587
Lasso,noise,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",0.6726249340620194,0.6022159672557847,0.5457242053584465,-0.779771018754472,0.7689648806007718,-0.4694287581297616,0.6842377699366147
Lasso,noise,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",0.6987644741466736,0.48315814309866956,0.4238105940831953,-0.7525441711366527,0.7727079624961966,-0.9131172257380991,0.6682297867538611
Lasso,noise,"{'half_nans': 'median', 'one_third_nans': 'median', 'small_nas': 'mode', 'unclear_columns': 'drop'}",0.6524645743138171,0.6262305980748659,0.6360465008759282,-0.5678238208023578,0.7477512488271751,-1.066703064749106,0.6677634955708429
Lasso,vae,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",0.403740050852216,0.49788387668903,-0.37793042412315314,-0.647577378201255,0.3668700377880959,0.9573561063280291,-0.15778765758488422
Lasso,vae,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",0.4104865341656866,0.21246619912078135,-0.8445757130007558,-0.647577378201255,0.3854243649234457,0.9573561063280291,-0.15778765758488422
Lasso,vae,"{'half_nans': 'median', 'one_third_nans': 'median', 'small_nas': 'mode', 'unclear_columns': 'drop'}",0.41811131185954054,0.507606711876466,-0.34513871526949713,-0.647577378201255,0.38962000955123965,0.9573561063280291,-0.15778765758488422
Lasso,copula,"{'half_nans': 'median', 'one_third_nans': 'mean', 'small_nas': 'ffill', 'unclear_columns': 'drop'}",0.657569264133856,0.5775450061981103,0.49875675114632423,-0.7938187193203761,0.7506674987856647,0.12494212034784535,0.6991889428768958
Lasso,copula,"{'half_nans': 'mean', 'one_third_nans': 'bfill', 'small_nas': 'bfill', 'unclear_columns': 'drop'}",0.6718195178082674,0.40124669713826044,0.11884527758435448,-0.7938187193203761,0.7334482655095821,0.12494212034784535,0.6991889428768958
