Expected Years of Schooling,avg_temp,Marriage,avg_income,Divorce,HDI Rank (2021),avg_temp_c,education_expenditure,IQ,Hemisphere_Northern Hemisphere,Hemisphere_Southern Hemisphere
8.658349991,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,35.0,5.653297165789233,409.7462800450428,88.29712891336501,0,0
16.83259964,24.939486947249716,3.2,7446.567417507158,1.800270883444213,58.0,18.04902035279357,409.7462800450428,88.29712891336501,0,1
14.51303959,24.939486947249716,5.7,7446.567417507158,1.8,45.0,10.333415227605164,409.7462800450428,88.29712891336501,1,0
16.13549042,32.7,5.6,17468.0,2.1,35.0,25.35222108027867,1265.0,77.0,1,0
16.13549042,32.7,5.6,17468.0,2.1,35.0,25.35222108027867,1265.0,77.0,1,0
16.13549042,32.7,5.6,17468.0,2.1,35.0,25.35222108027867,1265.0,77.0,1,0
16.13549042,32.7,5.6,17468.0,2.1,35.0,25.35222108027867,1265.0,77.0,1,0
16.13549042,32.7,5.6,17468.0,2.1,35.0,25.35222108027867,1265.0,77.0,1,0
16.13549042,32.7,5.6,17468.0,2.1,35.0,25.35222108027867,1265.0,77.0,1,0
16.13549042,32.7,5.6,17468.0,2.1,35.0,25.35222108027867,1265.0,77.0,1,0
16.13549042,32.7,5.6,17468.0,2.1,35.0,25.35222108027867,1265.0,77.0,1,0
15.92895985,10.1,5.0,13770.0,2.4,31.0,11.26576755285824,749.0,100.0,1,0
17.91690063,21.1,1.9,26463.0,1.6,27.0,18.07335654073791,1176.0,95.0,1,0
16.22678947,17.8,3.2,32104.0,1.5,30.0,14.248189552149782,1380.0,95.0,1,0
8.658349991,24.939486947249716,4.940543733983164,7446.567417507158,1.800270883444213,35.0,5.653297165789233,409.7462800450428,88.29712891336501,0,0
16.73130035,18.5,3.3,10195.0,0.7,42.0,14.630812206117204,482.0,88.0,0,1
16.73130035,18.5,3.3,10195.0,0.7,42.0,14.630812206117204,482.0,88.0,0,1
16.73130035,18.5,3.3,10195.0,0.7,42.0,14.630812206117204,482.0,88.0,0,1
16.73130035,18.5,3.3,10195.0,0.7,42.0,14.630812206117204,482.0,88.0,0,1
16.73130035,18.5,3.3,10195.0,0.7,42.0,14.630812206117204,482.0,88.0,0,1
16.73130035,18.5,3.3,10195.0,0.7,42.0,14.630812206117204,482.0,88.0,0,1
16.73130035,18.5,3.3,10195.0,0.7,42.0,14.630812206117204,482.0,88.0,0,1
16.73130035,18.5,3.3,10195.0,0.7,42.0,14.630812206117204,482.0,88.0,0,1
14.86443996,29.8,5.2,8845.0,0.9,86.0,21.670871898792864,437.0,87.0,1,0
14.86443996,29.8,5.2,8845.0,0.9,86.0,21.670871898792864,437.0,87.0,1,0
14.86443996,29.8,5.2,8845.0,0.9,86.0,21.670871898792864,437.0,87.0,1,0
14.86443996,29.8,5.2,8845.0,0.9,86.0,21.670871898792864,437.0,87.0,1,0
